"BusStopID","Longitude","Latitude","BusStopName","Name2","NbBusLine","BusLine","Lines"
"Stop_852",8.805529,50.8045993,"Botanischer Garten","Botanischer Garten",0,"L","L-7-9"
"Stop_737",8.7718127,50.8077535,"Alte Universität","Alte Universität",0,"L","L"
"Stop_766",8.767725,50.7903119,"Stadtbüro, B4","Stadtbüro",0,"L","L-2"
"Stop_611",8.7747419,50.8003103,"Reichwein-Schule","Reichwein-Schule",0,"L","L-6"
"Stop_758",8.76477,50.8009283,"Friedrichstraße","Friedrichstraße",0,"L","L-3"
"Stop_719",8.7703748,50.8090354,"Marktplatz (Marburger Schlossbahn)","Marktplatz (Marburger Schlossbahn)",0,"L","L-10"
"Stop_783",8.7382807,50.7912727,"Platz der Weissen Rose","Platz der Weissen Rose",0,"L","L-5-8"
"Stop_572",8.7732952,50.8186791,"Hauptbahnhof, B6","Hauptbahnhof",0,"L","L-1-2-3-4-5-6-7-10"
"Stop_761",8.7613172,50.7967039,"Gisselberger Straße, B2","Gisselberger Straße",0,"L","L-3"
"Stop_759",8.7653772,50.8015522,"Friedrichstraße","Friedrichstraße",0,"L","L-3"
"Stop_796",8.7537193,50.8026607,"Taubenweg","Taubenweg",0,"L","L-5"
"Stop_740",8.7744305,50.8105458,"Erwin-Piscator-Haus","Erwin-Piscator-Haus",0,"L","L-1-2-3-4-5-6-7"
"Stop_754",8.7695867,50.8039299,"Auf der Weide/AquaMar","Auf der Weide/AquaMar",0,"L","L-3"
"Stop_792",8.7624257,50.8068394,"Sybelstraße, A3","Sybelstraße",0,"L","L-10"
"Stop_730",8.770188,50.8072413,"Garten des Gedenkens, A1","Garten des Gedenkens",0,"L","L-1-2-3-4-5-7-8-9-10"
"Stop_722",8.7666104,50.8098212,"Schloss","Schloss",0,"L","L-10"
"Stop_778",8.7544929,50.7955097,"Am Herrenfeld","Am Herrenfeld",0,"L","L-5-8"
"Stop_81",8.775678,50.82894,"Ginseldorfer Weg","Ginseldorfer Weg",0,"L","L-7"
"Stop_791",8.7612407,50.8064998,"Sybelstraße, A1","Sybelstraße",0,"L","L-10"
"Stop_51",8.7343862,50.8112698,"Sellhof","Sellhof",0,"L","L"
"Stop_817",8.7766037,50.8157691,"Ortenbergcenter","Ortenbergcenter",0,"L","L-10"
"Stop_771",8.7637065,50.7951839,"Südbahnhof, B4","Südbahnhof",0,"L","L-1-2-4-6-7"
"Stop_822",8.7800513,50.8124893,"Ludwig-Schüler-Park, A1","Ludwig-Schüler-Park",0,"L","L-10"
"Stop_9",8.7502862,50.7753308,"Gisselberg","Gisselberg",0,"L","L"
"Stop_6",8.7500458,50.7703835,"Gisselberg","Gisselberg",0,"L","L"
"Stop_782",8.7638933,50.8064578,"Philippshaus","Philippshaus",0,"L","L-1-2-4-5-7-8-10"
"Stop_110",8.7604117,50.8085756,"Herder-Institut, A1","Herder-Institut",0,"L","L-10"
